Date,Monitoring_Year,Names,Bay,Quadrat,Habitat,quadrat_code,Point_intercept,Benthic_Substrate,First_Hit,Last_Hit,Hit_1,Hit_1adj,Hit_2,Hit_3,Hit_4,Hit_5,Hit_6,Hit_7,Hit_8,Hit_9,Hit_10,Water_Depth_cm
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,18,"LRHMA, APLY, S, H",APLY,S,LRHMA,APLY,APLY,S,H,,,,,,,128
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,19,"LRHMA, #263, H",AICR,H,LRHMA,AICR,AICR,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,20,"LRHMA, TURF, R",TURF,R,LRHMA,TURF,TURF,R,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,21,"LRHMA, CHNU, H",CHNU,H,LRHMA,CHNU,CHNU,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,22,"LRHMA, TURF, ISAL, AGEL- P, APLY1, WD, #268, RHMA SEEDLING, R",TURF,R,LRHMA,TURF,TURF,ISAL,AGEL,P,APLY1,WD,CASP,RHMA SEEDLING,R,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,23,"LRHMA, APLY1, WD, R, S",APLY,S,LRHMA,APLY,APLY1,WD,R,S,,,,,,106
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,24,"LRHMA, R, S",R,S,LRHMA,R,R,S,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,25,"LRHMA, APLY, TURF, R",APLY,R,LRHMA,APLY,APLY,TURF,R,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,26,"LRHMA, HAST, S, R",HAST,R,LRHMA,HAST,HAST,S,R,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,27,"LRHMA, R",R,R,LRHMA,R,R,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,28,"LRHMA, LARA PROP, R, S",LARA PROP,S,LRHMA,LARA PROP,LARA PROP,R,S,,,,,,,104
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,29,"LRHMA, HAST, S",HAST,S,LRHMA,HAST,HAST,S,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,30,"LRHMA, TURF, R",TURF,R,LRHMA,TURF,TURF,R,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,31,"LRHMA, S, R",S,R,LRHMA,S,S,R,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,32,"LRHMA, S, R",S,R,LRHMA,S,S,R,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,33,"LRHMA, S, R",S,R,LRHMA,S,S,R,,,,,,,,100
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,34,"LRHMA, #231- P, S, R",ALGA1,R,LRHMA,ALGA1,ALGA1,P,S,R,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,35,"LRHMA, P, S, H",P,H,LRHMA,P,P,S,H,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,36,"LRHMA, TUNI, H",TUNI,H,LRHMA,TUNI,TUNI,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,37,"LRHMA, TURF, H",TURF,H,LRHMA,TURF,TURF,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,38,"LRHMA, #292, H",SPONGE1,H,LRHMA,SPONGE1,SPONGE1,H,,,,,,,,80
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,39,"LRHMA, JAAD, H",JAAD,H,LRHMA,JAAD,JAAD,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,40,"LRHMA, ISAL-P, TURF, H",ISAL,H,LRHMA,ISAL,ISAL,P,TURF,H,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,41,"LRHMA, ISAL-P, TURF, H",ISAL,H,LRHMA,ISAL,ISAL,P,TURF,H,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,42,"ISAL-P, AGEL-P, TURF, H",P,H,ISAL,P,P,AGEL,P,TURF,H,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,43,"LRHMA, MONA-P, TURF, H",MONA,H,LRHMA,MONA,MONA,P,TURF,H,,,,,,68
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,44,"LRHMA, ISAL-P, R, H",ISAL,H,LRHMA,ISAL,ISAL,P,R,H,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,45,"LRHMA, BARN-P, TURF, H",BARN,H,LRHMA,BARN,BARN,P,TURF,H,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,1,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,2,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,3,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,100
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,4,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,5,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,6,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,7,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,8,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,95
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,9,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,10,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,11,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,12,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,13,"DRHMA, S",DRHMA,S,DRHMA,DRHMA,S,,,,,,,,,93
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,14,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,15,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,16,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,17,"PENA, R, S",PENA,S,PENA,PENA,R,S,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,18,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,90
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,19,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,20,"HAST, S",HAST,S,HAST,HAST,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,21,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,22,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,23,S,S,S,S,S,,,,,,,,,,83
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,24,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,25,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,26,"S, H",S,S,S,S,H,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,27,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,28,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,73
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,29,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,30,H,H,H,H,H,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,31,"WD, HAST",WD,HAST,WD,WD,HAST,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,32,"ISAL-DRHMA1, PENA, S",ISAL,S,ISAL,ISAL,DRHMA1,PENA,S,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,33,"DRHMA1, S",S,S,DRHMA1,S,S,,,,,,,,,65
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,34,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,35,H,H,H,H,H,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,36,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,37,"WD, S",WD,S,WD,WD,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,38,S,S,S,S,S,,,,,,,,,,59
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,39,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,40,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,41,"WD, S",WD,S,WD,WD,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,42,"PENA, S, H",H,S,PENA,H,S,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,43,S,S,S,S,S,,,,,,,,,,50
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,44,S,S,S,S,S,,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,U2,Debris,OCU2,45,"DRHMA, S",S,S,DRHMA,S,S,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,1,"PENA, S, H",PENA,S,PENA,PENA,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,2,"HAST, H",HAST,H,HAST,HAST,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,3,R,R,R,R,R,,,,,,,,,,129
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,4,R,R,R,R,R,,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,5,R,R,R,R,R,,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,6,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,7,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,8,"PENA, H",PENA,H,PENA,PENA,H,,,,,,,,,126
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,9,"DICT, S, H",DICT,H,DICT,DICT,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,10,S,S,S,S,S,,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,11,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,12,"R, S",R,S,R,R,S,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,13,"PENA, S, DICT, H",PENA,H,PENA,PENA,S,DICT,H,,,,,,,128
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,14,"PENA, SSID",PENA,H,PENA,PENA,SSID,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,15,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,16,"DICT, S, H",DICT,S,DICT,DICT,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,17,"PPOR, H",PPOR,H,PPOR,PPOR,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,18,"HAST, H",HAST,H,HAST,HAST,H,,,,,,,,,124
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,19,CASE,CASE,H,CASE,CASE,,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,20,"S, H",S,S,S,S,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,21,"HAST, S, H",HAST,H,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,22,"PENA, HAST, S, H",PENA,H,PENA,PENA,HAST,S,H,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,23,"HAST, DICT, S, H",HAST,H,HAST,HAST,DICT,S,H,,,,,,,118
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,24,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,25,"HALI, PENA, CASE, S, H",HALI,H,HALI,HALI,PENA,CASE,S,H,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,26,"HAST, PENA, S, H",HAST,H,HAST,HAST,PENA,S,H,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,27,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,28,"S, H",S,S,S,S,H,,,,,,,,,110
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,29,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,30,"HAST, PENA, S, H",HAST,H,HAST,HAST,PENA,S,H,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,31,"S, H",S,S,S,S,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,32,"CASE, HAST, S, H",CASE,H,CASE,CASE,HAST,S,H,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,33,"HAST, PENA, S, H",HAST,H,HAST,HAST,PENA,S,H,,,,,,,112
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,34,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,35,"HAST, S, H",HAST,S,HAST,HAST,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,36,"PENA, S, H",PENA,S,PENA,PENA,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,37,"SSID, S, H",SSID,S,SSID,SSID,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,38,"CLIO, PENA, S, H",CLIO,S,CLIO,CLIO,PENA,S,H,,,,,,,74
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,39,"SSID, H",SSID,H,SSID,SSID,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,40,"PENA, S, H",PENA,S,PENA,PENA,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,41,"PENA, S, H",PENA,S,PENA,PENA,S,H,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,42,"DICT, PENA, S, H",DICT,H,DICT,DICT,PENA,S,H,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,43,"PENA, S, H",PENA,H,PENA,PENA,S,H,,,,,,,,69
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,44,"S, H",S,H,S,S,H,,,,,,,,,
12/7/22,1,"SM, SM",Otter Creek,U3,Debris,OCU3,45,"S, H",S,H,S,S,H,,,,,,,,,
12/7/22,1,"LU, AC",Otter Creek,S3,Fringe,OCS3,1,"S, H",S,H,S,S,H,,,,,,,,,
12/7/22,1,"LU, AC",Otter Creek,S3,Fringe,OCS3,2,"S, H",S,H,S,S,H,,,,,,,,,
