Date,Names,Bay,Quad,Habitat,Temp,Dopercent,DOmgL,sal,spc,tds,Ph
1/23/23,"AJH, AND, KWG, LU",Water,U1,Debris,26.7,106.7,7.18,35.1,53261,34617,8.18
1/23/23,"AJH, AND, KWG, LU",Water,U1,Debris,26.6,108,7.17,35.08,53230,34600,8.18
1/23/23,"AJH, AND, KWG, LU",Water,U1,Debris,26.6,108.2,7.18,35.07,53214,34590,8.18
1/23/23,"AJH, AND, KWG, LU",Otter,U2,Debris,26.8,110.4,7.29,35.03,53180,34563,8.23
1/23/23,"AJH, AND, KWG, LU",Otter,U2,Debris,26.8,110.5,7.29,35.06,53207,34587,8.22
1/23/23,"AJH, AND, KWG, LU",Otter,U2,Debris,26.6,110,7.26,35.04,53187,34570,8.22
1/23/23,"AJH, AND, KWG, LU",Water,U2,Debris,26.6,100.7,6.7,35.08,53260,34622,NA
1/23/23,"AJH, AND, KWG, LU",Water,U2,Debris,26.4,102.4,6.83,35.08,53228,34598,NA
1/23/23,"AJH, AND, KWG, LU",Water,U2,Debris,26.1,102.3,6.86,35.07,53211,34588,NA
1/23/23,"AJH, AND, KWG, LU",Otter,U3,Debris,26.9,108.3,7.16,35.1,53275,34629,8.21
1/23/23,"AJH, AND, KWG, LU",Otter,U3,Debris,26.9,111.2,7.33,35.08,53240,34607,8.21
1/23/23,"AJH, AND, KWG, LU",Otter,U3,Debris,26.7,110.9,7.39,35.05,53194,34575,8.22
1/23/23,"AJH, AND, KWG, LU",Water,U3,Debris,26.7,96.8,6.4,35.26,53470,34747,NA
1/23/23,"AJH, AND, KWG, LU",Water,U3,Debris,26.3,97.4,6.44,35.1,53257,34613,NA
1/23/23,"AJH, AND, KWG, LU",Water,U3,Debris,26.6,97.5,6.46,35.09,53255,34618,NA
8/23/23,"AJH, LU, KH, AND",Water,S2,Fringe,31.5,139.2,8.04,36.78,55740,36231,8.16
8/23/23,"AJH, LU, KH, AND",Water,S2,Fringe,31.5,146.9,9.01,36.75,55697,36206,8.19
8/23/23,"AJH, LU, KH, AND",Water,S2,Fringe,31,133.2,7.84,36.74,55660,36176,8.16
8/23/23,"AJH, LU, KH, AND",Water,S3,Fringe,30.8,110.3,6.74,36.8,55724,36338,8.09
8/23/23,"AJH, LU, KH, AND",Water,S3,Fringe,31.1,108.1,6.57,36.73,55652,36175,8.09
8/23/23,"AJH, LU, KH, AND",Water,S3,Fringe,31.1,108.6,6.59,36.73,55642,36175,8.09
8/23/23,"AJH, LU, KH, AND",Water,U2,Debris,31.4,136.8,8.34,36.62,55579,36147,8.19
8/23/23,"AJH, LU, KH, AND",Water,U2,Debris,31.4,143.4,8.69,36.7,55628,36162,8.21
8/23/23,"AJH, LU, KH, AND",Water,U2,Debris,31.2,140.7,8.57,36.69,55601,36144,8.21
8/23/23,"AJH, LU, KH, AND",Water,U3,Debris,31.1,111.9,6.81,36.8,55733,362115,8.08
8/23/23,"AJH, LU, KH, AND",Water,U3,Debris,31.2,110.1,6.66,36.78,55734,36253,8.08
8/23/23,"AJH, LU, KH, AND",Water,U3,Debris,30.8,114.9,6.99,36.88,55835,36002,8.11
8/24/23,"AJH, LU, KH, AND",Water,S1,Fringe,31.6,117.7,7.09,36.69,55632,36171,8.02
8/24/23,"AJH, LU, KH, AND",Water,S1,Fringe,31.4,110.5,6.71,36.72,55650,36171,8.02
8/24/23,"AJH, LU, KH, AND",Water,S1,Fringe,31.5,112.6,6.79,36.72,55649,36171,8.03
8/24/23,"AJH, LU, KH, AND",Otter,S1,Fringe,31.6,115.4,6.93,37.01,56052,36421,8.06
8/24/23,"AJH, LU, KH, AND",Otter,S1,Fringe,31.5,113.7,6.85,36.81,55769,36250,8.07
8/24/23,"AJH, LU, KH, AND",Otter,S1,Fringe,31.5,116.2,7.02,36.77,55720,36220,8.08
8/24/23,"AJH, LU, KH, AND",Otter,S2,Fringe,32.2,112.9,6.74,37.01,56063,36402,8.06
8/24/23,"AJH, LU, KH, AND",Otter,S2,Fringe,32.2,113.3,6.77,36.83,55829,36281,8.08
8/24/23,"AJH, LU, KH, AND",Otter,S2,Fringe,30.8,109.9,6.64,37.06,56041,36449,8.09
8/24/23,"AJH, LU, KH, AND",Otter,S3,Fringe,32.7,116.6,6.93,36.76,55767,36252,8.1
8/24/23,"AJH, LU, KH, AND",Otter,S3,Fringe,32.6,121.6,7.19,36.85,55893,36331,8.09
8/24/23,"AJH, LU, KH, AND",Otter,S3,Fringe,32.4,119.9,7.08,36.85,55897,36333,8.08
8/24/23,"AJH, LU, KH, AND",Water,U1,Debris,31.6,110.7,6.69,36.77,55748,36230,7.97
8/24/23,"AJH, LU, KH, AND",Water,U1,Debris,31.5,114.9,6.97,36.69,55622,36153,8.05
8/24/23,"AJH, LU, KH, AND",Water,U1,Debris,31.6,118.5,7.14,36.71,55638,36164,8.06
8/24/23,"AJH, LU, KH, AND",Otter,U1,Debris,32.3,141.9,8.42,37.04,56001,36380,8.13
8/24/23,"AJH, LU, KH, AND",Otter,U1,Debris,32.3,141.4,8.43,36.83,55834,36283,8.15
8/24/23,"AJH, LU, KH, AND",Otter,U1,Debris,32.5,151.4,9.02,36.77,55758,36241,8.18
8/24/23,"AJH, LU, KH, AND",Otter,U2,Debris,30.9,119.3,7.25,36.78,55702,36190,8.09
8/24/23,"AJH, LU, KH, AND",Otter,U2,Debris,31.2,117.8,7.21,36.72,55634,36161,8.11
8/24/23,"AJH, LU, KH, AND",Otter,U2,Debris,31.6,119.4,7.27,36.73,55688,36194,8.12
8/24/23,"AJH, LU, KH, AND",Otter,U3,Debris,32.5,121.4,7.21,36.91,55943,36351,8.08
8/24/23,"AJH, LU, KH, AND",Otter,U3,Debris,32.5,125.3,7.45,36.8,55816,36279,8.1
8/24/23,"AJH, LU, KH, AND",Otter,U3,Debris,32.8,127.2,7.51,36.78,55797,36268,8.09
12/11/23,"LU, DS",Water,S1,Fringe,27,89.4,5.86,35.48,53782,34959,8.05
12/11/23,"LU, DS",Water,S1,Fringe,26.9,89.3,5.85,35.48,53784,34960,8.05
12/11/23,"LU, DS",Water,S1,Fringe,27,89.4,5.86,35.48,53783,34958,8.05
12/11/23,"LU, DS",Otter,S1,Fringe,27.7,94.1,6.1,35.52,53856,35006,8.11
12/11/23,"LU, DS",Otter,S1,Fringe,27.7,93.4,6,35.52,53864,35012,8.11
12/11/23,"LU, DS",Otter,S1,Fringe,27.7,93.3,6.1,35.52,53859,35008,8.11
12/11/23,"LU, DS",Water,S2,Fringe,27.6,96.2,6.23,35.5,53835,34993,8.12
12/11/23,"LU, DS",Water,S2,Fringe,27.6,95.5,6.18,35.44,53745,34933,8.07
12/11/23,"LU, DS",Water,S2,Fringe,27.6,96.3,6.24,35.5,53834,34992,8.12
12/11/23,"LU, DS",Otter,S2,Fringe,27.6,93.4,6.1,35.5,53857,35007,8.1
12/11/23,"LU, DS",Otter,S2,Fringe,27.6,93.2,6.05,35.5,53861,35010,8.1
12/11/23,"LU, DS",Otter,S2,Fringe,27.6,96.3,6.1,35.5,53853,35006,8.1
12/11/23,"LU, DS",Water,S3,Fringe,28.2,103.1,6.6,35.5,53839,34998,8.1
12/11/23,"LU, DS",Water,S3,Fringe,28.1,103.6,6.65,35.49,53840,34996,8.1
12/11/23,"LU, DS",Water,S3,Fringe,28.2,104.4,6.7,35.47,53816,34981,8.11
12/11/23,"LU, DS",Otter,S3,Fringe,27.5,96,6.23,35.5,53841,34998,8.06
12/11/23,"LU, DS",Otter,S3,Fringe,27.6,96,6.22,35.5,53853,35005,8.1
12/11/23,"LU, DS",Otter,S3,Fringe,27.6,96,6.22,35.53,53862,35010,8.1
12/11/23,"LU, DS",Water,U1,Debris,26.9,88.9,5.82,35.47,53772,34954,8.05
12/11/23,"LU, DS",Water,U1,Debris,27,88.8,5.83,35.47,53781,34957,8.05
12/11/23,"LU, DS",Water,U1,Debris,27,89.2,5.82,35.48,53785,34960,8.05
12/11/23,"LU, DS",Otter,U1,Debris,27.7,95.7,6.2,35.52,53857,35007,8.12
12/11/23,"LU, DS",Otter,U1,Debris,27.7,95.8,6.2,35.52,53860,35009,8.12
12/11/23,"LU, DS",Otter,U1,Debris,27.7,95.8,6.2,35.52,53859,35008,8.12
12/11/23,"LU, DS",Water,U2,Debris,27.9,102.4,6.65,35.5,53847,35000,8.1
12/11/23,"LU, DS",Water,U2,Debris,27.9,103.4,6.65,35.5,53850,35003,8.11
12/11/23,"LU, DS",Water,U2,Debris,27.8,109.2,7.7,35.5,53857,35007,8.14
12/11/23,"LU, DS",Otter,U2,Debris,27.6,93.9,6.12,35.53,53872,35016,8.1
12/11/23,"LU, DS",Otter,U2,Debris,27.5,94.6,6.15,35.53,53866,35012,8.1
12/11/23,"LU, DS",Otter,U2,Debris,27.6,98.1,6.36,35.5,35859,35008,8.12
12/11/23,"LU, DS",Water,U3,Debris,27.8,98.8,6.38,35.5,53842,34997,8.13
12/11/23,"LU, DS",Water,U3,Debris,27.8,99.4,6.43,35.49,53833,34990,8.13
12/11/23,"LU, DS",Water,U3,Debris,27.8,99.3,6.41,35.5,53839,34995,8.13
12/11/23,"LU, DS",Otter,U3,Debris,27.6,96.1,6.23,35.52,53860,35009,8.1
12/11/23,"LU, DS",Otter,U3,Debris,27.5,95.5,6.19,35.53,53862,35010,8.1
12/11/23,"LU, DS",Otter,U3,Debris,27.6,96.2,6.23,35.52,53866,35014,8.1
